icici_code,nse_symbol,company_name,series,isin_code,group,group_source,industry,industry_source,nifty_company_name,nse_macro,nse_sector,nse_industry_info,nse_basic_industry
ELPINT,ELPROINTL,Elpro International Ltd,EQ,INE579B01039,Elpro Group,corporate_group_repository.xlsx,,,,,,,
EMAINF,EMAMIREAL,Emami Realty Limited,EQ,INE778K01012,Emami Group,corporate_group_repository.xlsx,Residential Commercial Projects,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
EMALIM,EMAMILTD,Emami Limited,EQ,INE548C01032,Emami Group,corporate_group_repository.xlsx,Fast Moving Consumer Goods,ind_niftytotalmarket_list.csv,Emami Ltd.,,,,
EMAPAP,EMAMIPAP,Emami Paper Mills Limited,EQ,INE830C01026,Emami Group,corporate_group_repository.xlsx,Paper & Paper Products,nse_getSymbolData.basicIndustry,,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
EMCPHA,EMCURE,Emcure Pharmaceuticals Limited,EQ,INE168P01015,,,Healthcare,ind_niftytotalmarket_list.csv,Emcure Pharmaceuticals Ltd.,,,,
EMCTRA,EMCO,Emco Limited,BE,INE078A01026,R S Jain Group,corporate_group_repository.xlsx,,,,,,,
EMKGLO,EMKAY,Emkay Global Financial Service,EQ,INE296H01011,Emkay group,corporate_group_repository.xlsx,Stockbroking & Allied,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
EMMIND,EMMBI,Emmbi Industries Ltd,EQ,INE753K01015,Emmbi Industries Group,corporate_group_repository.xlsx,Packaging,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Industrial Products,Packaging
EMMPHO,EMMVEE,Emmvee Photovoltaic Power Limi,EQ,INE1C6T01020,,,Other Electrical Equipment,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
EMPCAS,KRISHIVAL,Krishival Foods Limited,EQ,INE0GGO01015,Krishival Group,corporate_group_repository.xlsx,Other Food Products,nse_getSymbolData.basicIndustry,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
EMPRE1,KRISHFL-RE,Krishival Foods Limited Re,BE,INE0GGO20015,,,Other Food Products,nse_getSymbolData.basicIndustry,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
EMPSUG,EMPEESUG,Empee Sugars & Chemicals Ltd,EQ,INE928B01012,Empee Group,corporate_group_repository.xlsx,POWER,nse_getSymbolData.basicIndustry,,ENERGY,POWER,POWER,POWER
EMSLIM,EMSLIMITED,Ems Limited,EQ,INE0OV601013,E M S Group,corporate_group_repository.xlsx,Waste Management,nse_getSymbolData.basicIndustry,,Utilities,Utilities,Other Utilities,Waste Management
EMULIM,EMUDHRA,Emudhra Limited,EQ,INE01QM01018,eMudhra Group,corporate_group_repository.xlsx,Information Technology,ind_niftytotalmarket_list.csv,eMudhra Ltd.,,,,
ENDTEC,ENDURANCE,Endurance Technologies Limited,EQ,INE913H01037,Endurance Group,corporate_group_repository.xlsx,Automobile and Auto Components,ind_niftytotalmarket_list.csv,Endurance Technologies Ltd.,,,,
